Kolera (cholera)|A00
Infeksiøse tarmsykdommer|A00-A09
Visse infeksjonssykdommer og parasittsykdommer|A00-B99
Kolera som skyldes Vibrio cholerae 01, biovar cholerae|A00.0
Kolera som skyldes Vibrio cholerae 01, biovar eltor|A00.1
Uspesifisert kolera|A00.9
Tyfoidfeber og paratyfoidfeber|A01
Tyfoidfeber|A01.0
Paratyfoidfeber A|A01.1
Paratyfoidfeber B|A01.2
Paratyfoidfeber C|A01.3
Uspesifisert paratyfoidfeber|A01.4
Andre salmonellainfeksjoner|A02
Salmonellaenteritt|A02.0
gastroenteritt|A02.0
tarmbetennelse|A02.0
Salmonellasepsis|A02.1
blodforgiftning|A02.1
Lokaliserte salmonellainfeksjoner|A02.2†
Andre spesifiserte salmonellainfeksjoner|A02.8
Uspesifisert salmonellainfeksjon|A02.9
Shigellose|A03
Shigellose som skyldes Shigella dysenteriae|A03.0
Shigellose som skyldes Shigella flexneri|A03.1
Shigellose som skyldes Shigella boydii|A03.2
Shigellose som skyldes Shigella sonnei|A03.3
Annen spesifisert shigellose|A03.8
Uspesifisert shigellose|A03.9
Andre bakterielle tarminfeksjoner|A04
Infeksjon som skyldes enteropatogen Escherichia coli|A04.0
Infeksjon som skyldes enterotoksigen Escherichia coli|A04.1
Infeksjon som skyldes enteroinvasiv Escherichia coli|A04.2
Infeksjon som skyldes enterohemoragisk Escherichia coli|A04.3
haemorrhagisk|A04.3
hemorragisk|A04.3
hemorrhagisk|A04.3
Andre tarminfeksjoner som skyldes Escherichia coli|A04.4
Enteritt som skyldes Campylobacter|A04.5
gastroenteritt|A04.5
tarmbetennelse|A04.5
Enteritt som skyldes Yersinia enterocolitica|A04.6
gastroenteritt|A04.6
tarmbetennelse|A04.6
Enterokolitt som skyldes Clostridium difficile|A04.7
clostridium difficile enterokolitt|A04.7
clostridium difficile matforgiftning|A04.7
clostridium difficile tarminfeksjon|A04.7
clostridium difficile-diaré|A04.7
clostridium difficile-enteritt|A04.7
clostridium difficile-enterokolitt|A04.7
clostridium-tarminfeksjon|A04.7
clostridiumenteritt|A04.7
clostridiumenterokolitt|A04.7
colitt|A04.7
enterokolitt clostridium difficile|A04.7
matforgiftning av clostridium difficile|A04.7
pseudomembranøs enterokolitt|A04.7
pseudomembranøs kolitt|A04.7
Andre spesifiserte bakterielle tarminfeksjoner|A04.8
Uspesifisert bakteriell tarminfeksjon|A04.9
Andre bakterielle matforgiftninger, ikke klassifisert annet sted|A05
Matforgiftning som skyldes Staphylococcus|A05.0
Botulisme|A05.1
Matforgiftning som skyldes Clostridium perfringens[Clostridium welchii]|A05.2
Matforgiftning som skyldes Vibrio parahaemolyticus|A05.3
Matforgiftning som skyldes Bacillus cereus|A05.4
Andre spesifiserte bakterielle matforgiftninger|A05.8
Uspesifisert bakteriell matforgiftning|A05.9
Amøbeinfeksjon|A06
Akutt amøbedysenteri|A06.0
Kronisk amøbeinfeksjon i tarmkanalen|A06.1
Amøbekolitt uten dysenteri|A06.2
colitt|A06.2
Amøbom i tarmkanalen|A06.3
Amøbeabscess i lever|A06.4
Amøbeabscess i lunge (J99.8*)|A06.5†
Amøbeabscess i hjerne (G07*)|A06.6†
Amøbeinfeksjon i hud|A06.7
cutan|A06.7
kutan|A06.7
Amøbeinfeksjon med annen spesifisert lokalisasjon|A06.8
Uspesifisert amøbeinfeksjon|A06.9
Andre protozosykdommer i tarmkanalen|A07
Balantidiasis|A07.0
Infeksjon som skyldes Giardia lamblia|A07.1
Cryptosporidiosis|A07.2
Isosporiasis|A07.3
Andre spesifiserte protozosykdommer i tarmkanalen|A07.8
Uspesifisert protozosykdom i tarmkanalen|A07.9
Virusinfeksjoner og andre spesifiserte infeksjoner i mage-tarmkanalen|A08
Rotavirusenteritt|A08.0
gastroenteritt|A08.0
tarmbetennelse|A08.0
virusgastroenteritt|A08.0
Akutt gastroenteritt som skyldes Norwalk-faktor|A08.1
gastroenteritt|A08.1
gastroenteritt norwalkvirus|A08.1
norwalkvirus-gastroenteritt|A08.1
tarmbetennelse|A08.1
Adenovirusenteritt|A08.2
gastroenteritt|A08.2
tarmbetennelse|A08.2
virusgastroenteritt|A08.2
Annen virusenteritt|A08.3
calicivirus-gastroenteritt|A08.3
gastroenteritt|A08.3
norovirus-gastroenteritt|A08.3
tarmbetennelse|A08.3
virusgastroenteritt|A08.3
Uspesifisert virusinfeksjon i mage-tarmkanalen|A08.4
mageinfluensa|A08.4
Andre spesifiserte mage-tarminfeksjoner|A08.5
Annen gastroenteritt og kolitt av infeksiøs og uspesifisert årsak|A09
colitt|A09
gastroenteritt|A09
gastrointestinal infeksjon|A09
mage-tarminfeksjon|A09
mageinfeksjon|A09
tarmbetennelse|A09
tarminfeksjon|A09
Annen og uspesifisert gastroenteritt og kolitt av infeksiøs årsak|A09.0
colitt|A09.0
gastroenteritt|A09.0
tarmbetennelse|A09.0
Gastroenteritt og kolitt av uspesifisert årsak|A09.9
colitt|A09.9
gastroenteritt|A09.9
tarmbetennelse|A09.9
